mileage,year,fuelType,price,engineVolume,power,registration,userType,gearBox,interiorMaterial,chassis
250000,1999,Dizel,1850,2000,72,Nije registrovan,user,Manuelni 5 brzina,,Kupe
187854,2004,Dizel,2899,1461,74,02.2017.,user,Manuelni 5 brzina,Štof,Hečbek
242667,2005,Dizel,3700,1500,60,01.2017.,user,Manuelni 5 brzina,Štof,Hečbek
162600,2003,Dizel,2100,1898,75,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
213500,2005,Dizel,2350,1500,60,07.2017.,user,Manuelni 5 brzina,Štof,Hečbek
185800,2002,Benzin,1850,1598,79,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
175400,2009,Dizel,6000,1461,63,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
87000,2010,Dizel,6700,1461,78,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Limuzina
165803,2003,Benzin,2550,1596,74,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
190000,2003,Dizel,1999,1900,88,06.2017.,user,Manuelni 6 brzina,Kombinovana koža,Hečbek
158900,2004,Dizel,2450,1890,88,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
248200,2003,Dizel,2450,1870,88,07.2017.,user,Manuelni 5 brzina,,Hečbek
168000,2004,Dizel,2790,1500,74,Nije registrovan,user,Manuelni 5 brzina,Štof,Karavan
144000,2010,Dizel,6000,1461,66,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
176000,2011,Dizel,6900,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,,Karavan
204900,2004,Dizel,2850,1500,60,Nije registrovan,dealer,Manuelni 5 brzina,Velur,Limuzina
202000,2004,Dizel,2588,1461,60,Nije registrovan,user,Manuelni 5 brzina,Štof,Hečbek
185000,2001,Benzin,2200,1390,70,04.2017.,user,Manuelni 5 brzina,Štof,Hečbek
350000,2002,Dizel,1989,1900,75,05.2016.,user,Manuelni 5 brzina,Štof,Karavan
161000,2005,Dizel,2499,1465,63,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Limuzina
161971,2003,Benzin,2400,1598,83,Nije registrovan,user,Manuelni 5 brzina,Štof,Hečbek
161000,2003,Benzin,2150,1400,72,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
190000,1999,Benzin,600,1396,68,Nije registrovan,user,Manuelni 5 brzina,,Limuzina
197000,2004,Dizel,2350,1870,88,Nije registrovan,user,Manuelni 5 brzina,Štof,Karavan
240000,2004,Dizel,2950,1870,88,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Limuzina
171000,2004,Benzin,3590,1998,98,Nije registrovan,dealer,Manuelni 5 brzina,,Kabriolet/Roadster
63000,2007,Benzin,9990,1998,169,09.2016.,dealer,Manuelni 6 brzina,,Hečbek
155000,2007,Dizel,3300,1461,78,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Hečbek
189000,2004,Dizel,2999,1461,74,Nije registrovan,dealer,Manuelni 5 brzina,Kombinovana koža,Limuzina
274000,2005,Dizel,2690,1890,88,12.2016.,dealer,Manuelni 6 brzina,Štof,Karavan
8,2016,Benzin,15990,1197,74,Nije registrovan,dealer,Manuelni 6 brzina,Štof,Hečbek
169250,2010,Dizel,6676,1896,96,Nije registrovan,dealer,Manuelni 6 brzina,Drugi,Hečbek
166693,2007,Dizel,4300,1461,78,05.2017.,dealer,Manuelni 6 brzina,Štof,Karavan
118940,2002,Benzin,1800,1596,79,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Karavan
186000,2010,Dizel,6950,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,,Hečbek
185322,2012,Dizel,6990,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,,Karavan
176816,2011,Dizel,6850,1461,66,07.2017.,dealer,Manuelni 5 brzina,,Karavan
172889,2011,Dizel,6800,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,,Hečbek
168000,2010,Dizel,6290,1461,81,Nije registrovan,dealer,Manuelni 5 brzina,,Hečbek
180000,2009,Dizel,5990,1461,81,Nije registrovan,dealer,Manuelni 6 brzina,,Karavan
113000,2003,Dizel,2700,1500,75,Nije registrovan,user,Manuelni 5 brzina,Štof,Limuzina
49000,2014,Dizel,9200,1461,70,05.2017.,dealer,Manuelni 6 brzina,Štof,Hečbek
111500,2005,Dizel,2650,1870,88,12.2016.,user,Manuelni 6 brzina,Štof,Monovolumen (MiniVan)
189000,1997,Benzin,550,1600,1,Nije registrovan,dealer,Manuelni 5 brzina,,Hečbek
210000,2005,Dizel,2050,1899,88,10.2016.,user,Manuelni 6 brzina,,Limuzina
205213,2003,Dizel,2450,1489,60,05.2017.,dealer,Manuelni 5 brzina,Štof,Hečbek
135359,2004,Dizel,2800,1500,74,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Limuzina
249000,2004,Dizel,3700,1500,60,08.2017.,user,Manuelni 5 brzina,,Limuzina
190000,2006,Dizel,3200,1498,74,Nije registrovan,user,Manuelni 6 brzina,Štof,Limuzina
228000,1998,Benzin + Gas (TNG),1180,1400,55,12.2016.,user,Manuelni 5 brzina,Štof,Limuzina
258000,2003,Dizel,2500,1500,60,Nije registrovan,user,Manuelni 5 brzina,Prirodna koža,Hečbek
167000,2008,Dizel,4600,1498,66,11.2016.,user,Manuelni 5 brzina,Štof,Limuzina
230000,2002,Dizel,1899,1870,75,01.2017.,user,Manuelni 5 brzina,,Karavan
250000,2002,Dizel,1100,1900,75,Nije registrovan,user,Manuelni 5 brzina,Štof,Karavan
133000,2012,Dizel,6650,1498,66,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
195800,2005,Dizel,2750,1900,88,09.2016.,user,Manuelni 6 brzina,Štof,Hečbek
40000,2010,Benzin,6800,1598,81,02.2017.,user,Manuelni 5 brzina,Štof,Limuzina
179000,2005,Dizel,3300,1900,88,03.2017.,user,Manuelni 6 brzina,Kombinovana koža,Hečbek
248200,2003,Dizel,2450,1870,88,07.2017.,user,Manuelni 5 brzina,,Hečbek
179300,2007,Dizel,3600,1890,96,10.2016.,user,Manuelni 6 brzina,Štof,Karavan
192000,1998,Dizel,1300,1900,72,11.2016.,user,Manuelni 5 brzina,Štof,Hečbek
182650,2002,Benzin,1599,1390,70,06.2017.,dealer,Manuelni 5 brzina,Štof,Karavan
168000,2005,Dizel,3300,1870,88,05.2017.,user,Manuelni 6 brzina,Kombinovana koža,Hečbek
105000,2003,Benzin,2400,1400,70,03.2017.,user,Manuelni 5 brzina,Štof,Hečbek
152000,2002,Benzin,2350,1400,70,03.2017.,user,Manuelni 5 brzina,Štof,Hečbek
240000,1996,Benzin + Gas (TNG),999,1600,66,06.2017.,user,Manuelni 5 brzina,Štof,Hečbek
185000,2008,Benzin + Gas (TNG),4300,1400,72,09.2016.,user,Manuelni 5 brzina,,Limuzina
166000,2003,Dizel,2500,1461,60,02.2017.,user,Manuelni 5 brzina,,Hečbek
192541,2003,Dizel,2999,1896,88,Nije registrovan,user,Manuelni 6 brzina,Prirodna koža,Hečbek
115000,2011,Benzin,8000,1600,73,04.2017.,user,Manuelni 6 brzina,Štof,Kupe
158000,2003,Benzin + Gas (TNG),2600,1600,83,12.2016.,user,Manuelni 5 brzina,Štof,Limuzina
217500,2000,Benzin + Gas (TNG),2000,1576,79,06.2017.,user,Manuelni 5 brzina,Štof,Kabriolet/Roadster
148508,2001,Benzin,2890,1598,79,02.2017.,dealer,Manuelni 5 brzina,Kombinovana koža,Kabriolet/Roadster
157000,2004,Dizel,2700,1498,63,Nije registrovan,dealer,Manuelni 5 brzina,Štof,Hečbek
138000,2004,Dizel,3000,1900,88,11.2016.,user,Manuelni 6 brzina,Štof,Limuzina
240000,2001,Dizel,1800,1900,77,05.2017.,user,Manuelni 5 brzina,Štof,Karavan
200000,2003,Benzin,2650,1600,80,02.2017.,user,Manuelni 6 brzina,Drugi,Karavan
213800,2002,Dizel,3190,1461,60,Nije registrovan,dealer,Manuelni 5 brzina,,Hečbek
146000,2001,Benzin,1300,1400,55,08.2016.,user,Manuelni 5 brzina,Štof,Kupe
138000,2007,Dizel,5200,1461,78,07.2016.,user,Manuelni 6 brzina,Prirodna koža,Kabriolet/Roadster
300000,1997,Dizel,1300,1870,47,12.2016.,user,Manuelni 5 brzina,Štof,Hečbek
233090,2005,Dizel,2800,1500,74,02.2017.,user,Manuelni 5 brzina,Štof,Hečbek
200000,2008,Dizel,4200,1500,63,06.2017.,user,Manuelni 5 brzina,Štof,Limuzina
263000,2003,Dizel,1950,1500,59,11.2016.,user,Manuelni 5 brzina,,Limuzina
10000,2002,Benzin + Gas (TNG),2000,1600,80,07.2017.,user,Automatski,Velur,Limuzina
185000,2009,Dizel,7490,1870,96,Nije registrovan,dealer,Manuelni 6 brzina,Kombinovana koža,Kupe
180000,2002,Dizel,999999999,1870,75,01.2017.,user,Manuelni 5 brzina,Štof,Karavan
180000,2006,Dizel,3300,1498,78,08.2017.,user,Manuelni 6 brzina,Štof,Hečbek
320000,2001,Dizel,1700,1900,74,10.2016.,user,Manuelni 5 brzina,Štof,Karavan
221000,2005,Dizel,2850,1461,71,Nije registrovan,user,Automatski,Štof,Karavan
231000,2003,Dizel,2750,1890,88,07.2017.,user,Manuelni 6 brzina,,Hečbek
200000,2001,Benzin + Gas (TNG),3000,1390,70,11.2016.,user,Manuelni 5 brzina,Štof,Hečbek
240000,2003,Dizel,2200,1461,60,04.2016.,user,Manuelni 5 brzina,Štof,Limuzina
200000,1997,Benzin,1350,1600,107,08.2016.,user,Manuelni 5 brzina,,Limuzina
165000,1999,Dizel,1400,1900,75,08.2016.,user,Manuelni 5 brzina,Štof,Karavan
199749,2004,Dizel,2450,1490,74,05.2017.,user,Manuelni 5 brzina,Prirodna koža,Hečbek
175227,2012,Dizel,7500,1461,81,Nije registrovan,user,Manuelni 6 brzina,Štof,Karavan
220000,2003,Dizel,2600,1870,88,04.2017.,user,Manuelni 6 brzina,Štof,Hečbek
164012,2004,Dizel,3350,1870,88,11.2016.,user,Manuelni 6 brzina,Štof,Hečbek
227000,2004,Benzin + Gas (TNG),3200,1596,83,10.2016.,user,Manuelni 5 brzina,Štof,Hečbek
