"kw","km","year","ac","gears","hatchback","wagon","coupe","price"
78,199000,2006,0,0,0,1,0,2990
83,150323,2004,1,0,0,1,0,2000
66,35826,2013,0,0,1,0,0,9650
88,175048,2003,1,0,0,0,0,2990
88,201000,2007,0,0,0,1,0,4500
63,156000,2002,0,0,1,0,0,2499
88,163000,2005,1,0,0,1,0,3200
74,25000,2012,0,0,1,0,0,7799
80,183000,2002,0,0,0,0,0,2150
60,243570,2003,0,0,1,0,0,3100
88,162980,2005,0,0,0,1,0,2899
88,137435,2004,1,0,0,1,0,3150
83,140344,2003,0,0,0,0,0,2599
96,177710,2008,0,0,0,1,0,4400
47,160000,2000,0,0,1,0,0,2000
79,189000,2002,0,0,0,1,0,1650
96,226000,2007,1,0,0,1,0,4000
70,125000,2001,0,0,1,0,0,2200
75,183000,2002,0,0,0,1,0,1750
63,280000,2004,0,0,1,0,0,2400
85,223000,2002,0,0,0,0,1,2450
78,132000,2009,0,0,0,0,0,6000
55,210000,2001,0,0,0,1,0,2100
81,206211,2010,1,0,1,0,0,6290
88,228000,2003,0,0,1,0,0,3050
63,191917,2008,0,0,0,1,0,6000
63,315840,2007,0,0,0,0,0,3400
60,230000,2005,0,0,1,0,0,3100
76,130000,2008,0,0,0,1,0,4300
88,194000,2004,1,0,0,1,0,3800
59,300000,2002,0,0,0,1,0,1600
83,120000,2002,0,0,1,0,0,2550
88,292000,2004,0,0,0,1,0,2500
88,164000,2004,0,0,0,0,0,3450
96,130000,2006,1,1,0,1,0,3000
78,156000,2007,0,0,1,0,0,4200
75,149000,2002,0,0,0,1,0,2400
72,168000,2004,0,0,1,0,0,2850
88,212000,2003,0,0,1,0,0,2850
63,243000,2006,0,0,1,0,0,3100
63,176000,2010,0,0,0,0,0,6000
66,135000,2009,0,0,1,0,0,6500
63,167000,2010,0,0,1,0,0,5900
81,158182,2012,0,0,0,1,0,6990
66,207513,2011,0,0,1,0,0,6200
66,152000,2011,0,0,1,0,0,5800
96,181378,2006,1,0,0,0,0,3750
60,159000,2005,0,0,0,1,0,3150
68,156000,2012,0,0,0,1,0,6589
85,170370,2012,0,0,1,0,0,6589
60,149000,2002,1,0,1,0,0,3000
66,122423,2003,0,0,1,0,0,3100
83,131000,2005,0,0,0,0,0,3250
60,171000,2004,0,0,1,0,0,2450
60,181472,2005,1,0,1,0,0,3500
79,199000,2003,0,0,0,1,0,2000
81,162087,2010,0,0,1,0,0,6790
76,161000,2007,1,0,0,1,0,4300
60,270000,2003,0,0,1,0,0,2590
88,212700,2003,1,0,1,0,0,2850
86,170000,2004,0,0,0,0,0,3800
83,200149,2003,1,0,0,0,0,3000
